session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2025-01-10,336.6000061035156,337.6099853515625,333.3900146484375,334.54998779296875,139700000,326.12,328.84,356.1,58.7,5.42,
2025-01-13,333.1000061035156,334.1000061035156,329.5299987792969,330.30999755859375,116800000,326.44,328.55,355.94,53.0,5.39,
2025-01-14,331.4599914550781,332.1199951171875,328.8500061035156,330.739990234375,115700000,326.53,328.38,355.81,53.5,5.24,
2025-01-15,332.8299865722656,335.1099853515625,330.2799987792969,330.9700012207031,155700000,326.55,328.25,355.65,53.8,5.21,
2025-01-16,335.70001220703125,336.7200012207031,334.6400146484375,335.7300109863281,136000000,326.86,328.09,355.46,59.2,5.25,
2025-01-17,334.7099914550781,336.1400146484375,333.2900085449219,335.0899963378906,133700000,327.35,327.96,355.27,58.2,5.08,
2025-01-20,336.30999755859375,336.7900085449219,333.4200134277344,333.94000244140625,111700000,327.56,327.83,355.09,56.4,4.95,
2025-01-21,336.1199951171875,338.70001220703125,333.0199890136719,334.44000244140625,125000000,328.17,327.7,354.89,57.0,5.01,
2025-01-22,336.95001220703125,339.510009765625,335.19000244140625,338.760009765625,164400000,329.19,327.68,354.71,62.1,5.01,
2025-01-23,337.55999755859375,337.80999755859375,334.5,334.5,127000000,329.76,327.68,354.52,55.2,4.96,
2025-01-24,336.1700134277344,338.17999267578125,335.17999267578125,336.739990234375,118300000,330.43,327.87,354.33,57.8,4.87,
2025-01-31,336.45001220703125,337.1499938964844,330.20001220703125,333.3599853515625,175500000,331.03,328.16,354.12,52.7,5.02,
2025-02-03,326.44000244140625,326.79998779296875,322.30999755859375,324.54998779296875,159300000,331.3,328.3,353.86,42.2,5.45,
2025-02-04,328.5799865722656,332.75,327.2699890136719,328.7200012207031,151300000,331.85,328.46,353.66,47.6,5.64,
2025-02-05,332.04998779296875,333.6600036621094,330.9599914550781,332.4700012207031,127500000,332.58,328.54,353.44,51.9,5.59,
2025-02-06,334.30999755859375,336.5299987792969,332.9800109863281,336.5299987792969,168900000,333.21,328.71,353.27,56.0,5.48,
2025-02-07,335.9200134277344,336.3599853515625,333.4100036621094,333.8900146484375,148400000,333.33,328.81,353.07,52.8,5.31,
2025-02-10,332.05999755859375,335.3399963378906,330.6499938964844,334.5,146800000,333.51,328.91,352.9,53.5,5.27,
2025-02-11,335.94000244140625,338.1099853515625,334.82000732421875,336.6700134277344,142300000,333.59,328.99,352.73,55.9,5.15,
