session_date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,atr14,vol_index
2025-07-03,61300.0,63800.0,61100.0,63800.0,32040639,59750.0,57338.0,57269.5,67.4,1564.67,
2025-07-04,64700.0,64700.0,63000.0,63300.0,23748959,59960.0,57498.0,57214.0,64.9,1574.34,
2025-07-07,62900.0,63300.0,61700.0,61700.0,17164708,60055.0,57624.0,57160.0,57.7,1576.17,
2025-07-08,61600.0,62400.0,61000.0,61400.0,20213724,60165.0,57752.0,57117.0,56.5,1563.59,
2025-07-09,61400.0,61400.0,60200.0,60400.0,17533415,60190.0,57846.0,57074.0,52.3,1537.62,
2025-07-10,60600.0,61200.0,60400.0,61000.0,14768473,60265.0,57952.0,57034.5,54.5,1484.93,
2025-07-11,61300.0,62800.0,61200.0,62600.0,19140650,60480.0,58090.0,57010.0,59.7,1507.43,
2025-07-14,62300.0,62600.0,61800.0,62500.0,13563846,60745.0,58224.0,56991.5,59.2,1456.9,
2025-07-15,62300.0,63800.0,62000.0,63700.0,18442202,61025.0,58382.0,56985.5,62.9,1481.41,
2025-07-16,63700.0,64700.0,63100.0,64700.0,23042660,61270.0,58566.0,56977.5,65.7,1489.88,
2025-07-17,65900.0,66800.0,64400.0,66700.0,39448683,61645.0,58814.0,56989.0,70.4,1554.89,
2025-07-18,67000.0,67800.0,66300.0,67100.0,23951531,62025.0,59064.0,57009.0,71.3,1550.97,
2025-07-21,67400.0,68800.0,67200.0,67800.0,17723148,62515.0,59328.0,57033.0,72.8,1561.61,
2025-07-22,68100.0,68500.0,65600.0,66000.0,20829006,62790.0,59552.0,57050.0,63.6,1657.21,
2025-07-23,66200.0,66500.0,64900.0,66400.0,15687058,63045.0,59728.0,57066.0,64.7,1653.13,
2025-07-24,66500.0,66800.0,65900.0,66000.0,12660193,63335.0,59910.0,57085.0,62.7,1599.33,
2025-07-25,65700.0,66300.0,65500.0,65900.0,8080910,63590.0,60080.0,57091.0,62.2,1542.24,
2025-07-28,68200.0,70400.0,67200.0,70400.0,35332500,64120.0,60342.0,57122.0,72.9,1753.51,
2025-07-29,70800.0,70800.0,68800.0,70600.0,28190940,64640.0,60618.0,57167.5,73.3,1771.11,
2025-07-30,71000.0,73700.0,70600.0,72600.0,34761444,65230.0,60954.0,57224.0,76.6,1866.03,
2025-07-31,73000.0,74000.0,71000.0,71400.0,26568072,65610.0,61264.0,57278.0,70.9,1947.03,
2025-08-01,70200.0,72000.0,68800.0,68900.0,24038534,65890.0,61528.0,57317.5,60.7,2036.53,
2025-08-04,69500.0,70200.0,68700.0,69700.0,14780072,66290.0,61828.0,57364.5,62.5,1998.2,
2025-08-05,71000.0,71500.0,69700.0,69900.0,14392903,66715.0,62142.0,57419.5,63.0,1984.05,
2025-08-06,69200.0,69400.0,68300.0,68800.0,12542415,67135.0,62424.0,57467.0,58.6,1956.62,
2025-08-07,70800.0,71000.0,69700.0,70500.0,15008213,67610.0,62756.0,57523.0,62.9,1974.0,
2025-08-08,71000.0,72400.0,70700.0,71800.0,22241128,68070.0,63074.0,57577.0,65.8,1968.71,
